"Periodo","Exportaciones","Importaciones"
"2000/01","11252743.00000","11858647.00000"
"2000/02","13189566.00000","13439078.00000"
"2000/03","13575435.00000","13921248.00000"
"2000/04","12327403.00000","12717859.00000"
"2000/05","14654687.00000","15192823.00000"
"2000/06","14045054.00000","14567332.00000"
"2000/07","13411361.00000","13993007.00000"
"2000/08","15261802.00000","16102786.00000"
"2000/09","14110043.00000","14781597.00000"
"2000/10","16131582.00000","16841327.00000"
"2000/11","14525529.00000","15966404.00000"
"2000/12","13635532.00000","15075715.00000"
"2001/01","12853053.00000","13799523.00000"
"2001/02","12566162.00000","13130126.00000"
"2001/03","14311048.00000","14932923.00000"
"2001/04","13273001.00000","14112743.00000"
"2001/05","14051740.00000","14660233.00000"
"2001/06","13423356.00000","13749346.00000"
"2001/07","12947584.00000","13503005.00000"
"2001/08","13502467.00000","14163415.00000"
"2001/09","12679097.00000","13132205.00000"
"2001/10","14484934.00000","15561174.00000"
"2001/11","12511301.00000","14188774.00000"
"2001/12","12175990.00000","13462967.00000"
"2002/01","11579633.00000","12159290.00000"
"2002/02","11977242.00000","12545422.00000"
"2002/03","13120312.00000","13416805.00000"
"2002/04","14445063.00000","15014090.00000"
"2002/05","13911295.00000","14444728.00000"
"2002/06","13124146.00000","13518791.00000"
"2002/07","14066592.00000","14560945.00000"
"2002/08","13726998.00000","14300544.00000"
"2002/09","13573619.00000","14063594.00000"
"2002/10","14856076.00000","15676501.00000"
"2002/11","13230385.00000","14397931.00000"
"2002/12","13434619.00000","14580248.00000"
"2003/01","12613632.00000","12622254.00000"
"2003/02","12867156.00000","12581877.00000"
"2003/03","13570706.00000","13985278.00000"
"2003/04","13563240.00000","14369374.00000"
"2003/05","13153418.00000","13674733.00000"
"2003/06","13527896.00000","13847023.00000"
"2003/07","13740277.00000","14424284.00000"
"2003/08","13427713.00000","13816848.00000"
"2003/09","14375051.00000","14730983.00000"
"2003/10","15128019.00000","15735472.00000"
"2003/11","13760615.00000","14692799.00000"
"2003/12","15038713.00000","16064919.00000"
"2004/01","12710912.00000","12872078.00000"
"2004/02","13864283.00000","14075671.00000"
"2004/03","16617819.00000","16769149.00000"
"2004/04","14725798.00000","15424410.00000"
"2004/05","16154748.00000","16061986.00000"
"2004/06","16507297.00000","17020965.00000"
"2004/07","15016997.00000","15848001.00000"
"2004/08","16927796.00000","17600618.00000"
"2004/09","15929465.00000","16373251.00000"
"2004/10","16913202.00000","17523926.00000"
"2004/11","17075574.00000","19427122.00000"
"2004/12","15554664.00000","17812475.00000"
